scenario,date,variable,forecast,space
global_easing,2024-07-01,china_gdp,1.159,level
global_easing,2024-07-01,gdp_growth,0.876,level
global_easing,2024-07-01,cpi_inflation,1.298,level
global_easing,2024-07-01,unemployment,3.879,level
global_easing,2024-07-01,hibor_3m,2.141,level
global_easing,2024-10-01,us_ffr,1.598,level
global_easing,2024-10-01,china_gdp,0.996,level
global_easing,2024-10-01,gdp_growth,1.098,level
global_easing,2024-10-01,cpi_inflation,1.14,level
global_easing,2024-10-01,unemployment,4.045,level
global_easing,2024-10-01,hibor_3m,1.823,level
global_easing,2025-01-01,us_ffr,1.395,level
global_easing,2025-01-01,china_gdp,1.004,level
global_easing,2025-01-01,gdp_growth,1.417,level
global_easing,2025-01-01,cpi_inflation,1.057,level
global_easing,2025-01-01,unemployment,4.179,level
global_easing,2025-01-01,hibor_3m,1.596,level
global_easing,2025-04-01,us_ffr,1.283,level
global_easing,2025-04-01,china_gdp,1.113,level
global_easing,2025-04-01,gdp_growth,1.862,level
global_easing,2025-04-01,cpi_inflation,1.06,level
global_easing,2025-04-01,unemployment,4.264,level
global_easing,2025-04-01,hibor_3m,1.444,level
global_easing,2025-07-01,us_ffr,1.243,level
global_easing,2025-07-01,china_gdp,1.344,level
global_easing,2025-07-01,gdp_growth,2.374,level
global_easing,2025-07-01,cpi_inflation,1.14,level
global_easing,2025-07-01,unemployment,4.292,level
global_easing,2025-07-01,hibor_3m,1.372,level
