date,property_class_a,property_class_b,property_class_c,property_class_d,property_class_e,property_classes_abc,property_classes_de,hk_property_price_idx,property_class_a_remarks,property_class_b_remarks,property_class_c_remarks,property_class_d_remarks,property_class_e_remarks,property_classes_abc_remarks,property_classes_de_remarks,hk_property_price_remarks,hk_property_price_yoy,hk_property_price_qoq,hk_property_price_qoq_ann
2007-01-01,91.2333,94.4667,110.9333,127.0667,146.5000,94.6667,131.8000,96.5667,,,,,,,,,5.5373,3.5013,14.7578
2007-04-01,95.4000,97.5000,115.9333,132.8000,154.1000,98.2667,138.0333,100.2667,,,,,,,,,7.5438,3.8315,16.2298
2007-07-01,98.8333,101.2000,119.9333,139.6000,163.7667,101.9000,145.5000,104.0333,,,,,,,,,12.1855,3.7566,15.8947
2007-10-01,108.4333,108.9667,131.7333,152.5667,181.4667,110.8333,159.4333,113.2333,,,,,,,,,21.3648,8.8433,40.3483
2008-01-01,121.1333,119.8667,145.9667,165.6333,192.0667,122.7333,171.7000,125.0333,,,,,,,,,29.4788,10.4210,48.6641
2008-04-01,122.4333,120.7333,146.1000,167.6000,195.5667,123.6667,173.8333,125.9000,,,,,,,,,25.5652,0.6931,2.8016
2008-07-01,119.7333,119.1000,142.7000,159.5667,190.6000,121.3667,166.3000,123.2333,,,,,,,,,18.4556,-2.1181,-8.2069
2008-10-01,106.9333,104.7667,119.1667,136.1333,156.2667,106.8000,140.3333,108.0000,,,,,,,,,-4.6217,-12.3614,-41.0095
2009-01-01,106.9000,105.1000,119.3667,135.8667,156.6667,106.9000,140.5000,108.0333,,,,,,,,,-13.5964,0.0309,0.1235
2009-04-01,115.9667,113.5667,130.1667,145.6333,168.8333,115.8333,150.9000,117.0667,,,,,,,,,-7.0162,8.3616,37.8802
2009-07-01,126.0333,122.4000,141.6667,163.2000,189.2333,125.3667,169.6000,127.1333,,,,,,,,,3.1647,8.5991,39.0928
2009-10-01,132.1667,127.6333,149.0333,168.8000,193.8333,131.1333,174.9000,132.9000,,,,,,,,,23.0556,4.5359,19.4159
2010-01-01,141.1000,134.8000,156.2667,178.4333,204.5000,139.0333,184.6333,140.8000,,,,,,,,,30.3301,5.9443,25.9826
2010-04-01,147.3000,140.2667,162.3000,183.4333,207.4333,144.8333,189.0667,146.4333,,,,,,,,,25.0854,4.0009,16.9901
2010-07-01,155.8000,147.4667,169.5000,191.4333,221.1667,152.5333,198.0000,154.1000,,,,,,,,,21.2113,5.2356,22.6453
2010-10-01,165.6000,154.8667,176.6000,196.6667,227.0000,160.8667,203.3667,162.3000,,,,,,,,,22.1219,5.3212,23.0449
2011-01-01,180.1000,167.0333,187.6667,207.6000,231.0667,173.8667,212.7000,175.1333,,,,,,,,,24.3845,7.9072,35.5817
2011-04-01,191.3000,177.1333,198.0000,218.9333,248.2333,184.4667,225.3000,185.7667,,,,,,,,,26.8609,6.0716,26.5890
2011-07-01,190.2000,177.1333,196.9000,215.3333,245.3667,183.9667,222.1333,185.2000,,,,,,,,,20.1817,-0.3050,-1.2146
2011-10-01,187.5333,173.9000,192.7000,211.3667,242.0333,180.8000,218.6667,182.1000,,,,,,,,,12.1996,-1.6739,-6.5292
2012-01-01,192.7667,176.4667,191.6333,205.9667,246.9333,184.1667,216.2667,185.2667,,,,,,,,,5.7861,1.7390,7.1394
2012-04-01,212.2667,192.2000,206.3000,224.7000,260.1000,201.2000,233.5667,202.2667,,,,,,,,,8.8821,9.1760,42.0719
2012-07-01,224.1667,200.2333,212.5667,233.2333,266.6333,210.4667,241.2667,211.5667,,,,,,,,,14.2369,4.5979,19.6993
2012-10-01,241.0667,213.7333,222.9667,239.9333,269.9667,224.9000,246.7667,225.7333,,,,,,,,,23.9612,6.6961,29.5967
2013-01-01,254.2667,225.6000,232.1333,245.9000,268.3000,236.9667,250.8333,237.4667,,,,,Z,,,,28.1756,5.1979,22.4695
2013-04-01,258.7000,229.2667,233.0667,244.9000,268.5333,240.8000,249.9667,241.1667,,,,,Z,,,,19.2320,1.5581,6.3796
2013-07-01,264.2333,233.2000,235.3000,245.3000,268.3667,245.4333,250.3333,245.6333,,,,,Z,,,,16.1021,1.8521,7.6168
2013-10-01,264.0667,232.2667,233.4333,243.4667,264.3333,245.0667,248.2000,245.1667,,,,,,,,,8.6090,-0.1900,-0.7578
2014-01-01,263.8000,230.3667,231.5000,240.2667,259.8000,244.2333,245.1000,244.2333,,,,,Z,,,,2.8495,-0.3807,-1.5141
2014-04-01,268.0000,233.9000,232.0000,242.3667,262.1667,247.5667,247.7333,247.5667,,,,,,,,,2.6538,1.3648,5.5720
2014-07-01,283.8000,247.9333,240.1333,250.2000,266.2000,261.6000,254.5333,261.3000,,,,,,,,,6.3781,5.5473,24.1049
2014-10-01,299.1667,260.6333,249.2000,258.3000,270.7333,274.8333,261.7000,274.3000,,,,,,,,,11.8831,4.9751,21.4355
2015-01-01,316.5000,275.5000,259.4667,266.6333,278.7000,289.9667,269.9000,289.2000,,,,,,,,,18.4114,5.4320,23.5634
2015-04-01,328.4000,285.4333,266.6667,272.4667,285.4000,300.2000,275.9000,299.1667,,,,,,,,,20.8429,3.4463,14.5143
2015-07-01,336.8000,290.8667,272.3000,275.9667,290.3000,306.4000,279.9667,305.1667,,,,,,,,,16.7879,2.0056,8.2669
2015-10-01,325.0333,279.5667,263.0333,262.5000,279.3000,294.9333,267.2000,293.5667,,,,,,,,,7.0239,-3.8012,-14.3596
2016-01-01,301.9667,261.9333,249.8000,257.2000,264.5333,275.5667,259.2667,274.7000,,,,,Z,,,,-5.0138,-6.4267,-23.3331
2016-04-01,302.4333,261.9333,251.7000,259.0000,268.4333,275.8667,261.6000,275.1667,,,,,,,,,-8.0223,0.1699,0.6813
2016-07-01,317.8000,275.0333,259.1667,265.5333,276.4667,289.4000,268.2333,288.4333,,,,,,,,,-5.4833,4.8213,20.7254
2016-10-01,336.9000,292.5667,274.3667,276.1000,290.9333,307.3667,279.4667,306.1333,,,,,,,,,4.2807,6.1366,26.8997
2017-01-01,346.5000,301.3333,281.8333,279.9333,298.1667,316.4000,284.0000,314.9667,,,,,,,,,14.6584,2.8855,12.0510
2017-04-01,368.6000,318.0667,293.9667,291.4000,302.4667,335.1667,294.0333,333.2333,,,,,,,,,21.1024,5.7996,25.2955
2017-07-01,374.9333,323.1333,300.5000,296.2333,309.2667,341.4000,299.6333,339.3333,,,,,,,,,17.6471,1.8305,7.5257
2017-10-01,383.3000,330.9000,311.1000,304.8667,314.4667,350.1000,307.4333,348.0333,,,,,,,,,13.6868,2.5639,10.6566
2018-01-01,401.5667,346.5667,323.2000,315.0667,324.6667,366.6667,317.6333,364.3000,,,,,,,,,15.6630,4.6739,20.0476
2018-04-01,423.3333,365.5667,339.8000,325.3000,330.2667,386.7000,326.6000,383.8333,,,,,,,,,15.1846,5.3619,23.2350
2018-07-01,434.1667,374.7333,344.0667,328.6000,332.7333,396.0667,329.6667,392.9333,,,,,,,,,15.7957,2.3708,9.8259
